"metric_id","scenario_year","subject_source","comparison_source","metric_name","metric_value","numerator_value","denominator_value","unit","note","calculated_at"
"3125","2023","AVD","NVD","tte_mean","5755.000898","179383378","31170","seconds","AVD: published_at-created_at from database; external: source_published-nvd_published; negative external gaps are excluded","5/5/2026 16:32:08"
"3126","2023","AVD","NVD","completeness_score","99.194739","30919","31170","percent","source-specific completeness","5/5/2026 16:32:08"
"3127","2023","AVD","NVD","coverage_vs_nvd","100","31170","31170","percent","NVD baseline coverage","5/5/2026 16:32:08"
"3128","2023","AVD","NVD","accuracy_structural_score","97.023892","55889.4","57603.75","percent","non-null field accuracy against NVD baseline + source-specific consistency checks","5/5/2026 16:32:08"
"3129","2023","AVD","NVD","prioritisation_avg_delta_vs_nvd","0.711111","64","90","score","AU CVEs only: source_score - NVD base_score","5/5/2026 16:32:08"
"3130","2023","JVN","NVD","tte_mean","147.417273","4109551.307998","27877","days","AVD: published_at-created_at from database; external: source_published-nvd_published; negative external gaps are excluded","5/5/2026 16:32:08"
"3131","2023","JVN","NVD","completeness_score","92.596069","26191.724","28286","percent","source-specific completeness","5/5/2026 16:32:08"
"3132","2023","JVN","NVD","coverage_vs_nvd","90.737889","28283","31170","percent","NVD baseline coverage","5/5/2026 16:32:08"
"3133","2023","JVN","NVD","accuracy_structural_score","67.38546","20811.055779","30883.6","percent","non-null field accuracy against NVD baseline + source-specific consistency checks","5/5/2026 16:32:08"
"3134","2023","JVN","NVD","prioritisation_avg_delta_vs_nvd","-0.055814","-4.8","86","score","AU CVEs only: source_score - NVD base_score","5/5/2026 16:32:08"
"3135","2023","EUVD","NVD","tte_mean","15.942798","1594.279792","100","days","AVD: published_at-created_at from database; external: source_published-nvd_published; negative external gaps are excluded","5/5/2026 16:32:08"
"3136","2023","EUVD","NVD","completeness_score","71.293461","9785.0275","13725","percent","source-specific completeness","5/5/2026 16:32:08"
"3137","2023","EUVD","NVD","coverage_vs_nvd","44.026307","13723","31170","percent","NVD baseline coverage","5/5/2026 16:32:08"
"3138","2023","EUVD","NVD","accuracy_structural_score","86.345135","7506.846","8694","percent","non-null field accuracy against NVD baseline + source-specific consistency checks","5/5/2026 16:32:08"
"3139","2023","EUVD","NVD","prioritisation_avg_delta_vs_nvd","-0.114815","-6.2","54","score","AU CVEs only: source_score - NVD base_score","5/5/2026 16:32:08"
"3140","2023","GHAD","NVD","tte_mean","20.205621","73326.197766","3629","days","AVD: published_at-created_at from database; external: source_published-nvd_published; negative external gaps are excluded","5/5/2026 16:32:08"
"3141","2023","GHAD","NVD","completeness_score","86.446888","25902.9455","29964","percent","source-specific completeness","5/5/2026 16:32:08"
"3142","2023","GHAD","NVD","coverage_vs_nvd","96.111646","29958","31170","percent","NVD baseline coverage","5/5/2026 16:32:08"
"3143","2023","GHAD","NVD","accuracy_structural_score","84.463084","25318.527441","29975.85","percent","non-null field accuracy against NVD baseline + source-specific consistency checks","5/5/2026 16:32:08"
"3144","2023","GHAD","NVD","prioritisation_avg_delta_vs_nvd","-0.039326","-3.5","89","score","AU CVEs only: source_score - NVD base_score","5/5/2026 16:32:08"
"3145","2024","AVD","NVD","tte_mean","8650.75295","337941664","39065","seconds","AVD: published_at-created_at from database; external: source_published-nvd_published; negative external gaps are excluded","5/5/2026 16:32:08"
"3146","2024","AVD","NVD","completeness_score","99.277395","38782.714286","39065","percent","source-specific completeness","5/5/2026 16:32:08"
"3147","2024","AVD","NVD","coverage_vs_nvd","100","39065","39065","percent","NVD baseline coverage","5/5/2026 16:32:08"
"3148","2024","AVD","NVD","accuracy_structural_score","95.877903","68147.425","71077.3","percent","non-null field accuracy against NVD baseline + source-specific consistency checks","5/5/2026 16:32:08"
"3149","2024","AVD","NVD","prioritisation_avg_delta_vs_nvd","0.716774","22.22","31","score","AU CVEs only: source_score - NVD base_score","5/5/2026 16:32:08"
"3150","2024","JVN","NVD","tte_mean","154.481258","4425579.070949","28648","days","AVD: published_at-created_at from database; external: source_published-nvd_published; negative external gaps are excluded","5/5/2026 16:32:08"
"3151","2024","JVN","NVD","completeness_score","92.480229","26764.703","28941","percent","source-specific completeness","5/5/2026 16:32:08"
"3152","2024","JVN","NVD","coverage_vs_nvd","74.073979","28937","39065","percent","NVD baseline coverage","5/5/2026 16:32:08"
"3153","2024","JVN","NVD","accuracy_structural_score","75.641603","23859.630678","31543","percent","non-null field accuracy against NVD baseline + source-specific consistency checks","5/5/2026 16:32:08"
"3154","2024","JVN","NVD","prioritisation_avg_delta_vs_nvd","-0.014286","-0.4","28","score","AU CVEs only: source_score - NVD base_score","5/5/2026 16:32:08"
"3155","2024","EUVD","NVD","tte_mean","8.704882","1418.895741","163","days","AVD: published_at-created_at from database; external: source_published-nvd_published; negative external gaps are excluded","5/5/2026 16:32:08"
"3156","2024","EUVD","NVD","completeness_score","74.603059","14119.375","18926","percent","source-specific completeness","5/5/2026 16:32:08"
"3157","2024","EUVD","NVD","coverage_vs_nvd","48.43466","18921","39065","percent","NVD baseline coverage","5/5/2026 16:32:08"
"3158","2024","EUVD","NVD","accuracy_structural_score","84.806103","10935.4925","12894.7","percent","non-null field accuracy against NVD baseline + source-specific consistency checks","5/5/2026 16:32:08"
"3159","2024","EUVD","NVD","prioritisation_avg_delta_vs_nvd","-0.272222","-4.9","18","score","AU CVEs only: source_score - NVD base_score","5/5/2026 16:32:08"
"3160","2024","GHAD","NVD","tte_mean","10.464072","31350.358854","2996","days","AVD: published_at-created_at from database; external: source_published-nvd_published; negative external gaps are excluded","5/5/2026 16:32:08"
"3161","2024","GHAD","NVD","completeness_score","86.552111","32348.8515","37375","percent","source-specific completeness","5/5/2026 16:32:08"
"3162","2024","GHAD","NVD","coverage_vs_nvd","95.658518","37369","39065","percent","NVD baseline coverage","5/5/2026 16:32:08"
"3163","2024","GHAD","NVD","accuracy_structural_score","89.415895","33216.48486","37148.3","percent","non-null field accuracy against NVD baseline + source-specific consistency checks","5/5/2026 16:32:08"
"3164","2024","GHAD","NVD","prioritisation_avg_delta_vs_nvd","0.06","1.8","30","score","AU CVEs only: source_score - NVD base_score","5/5/2026 16:32:08"
"3165","2025","AVD","NVD","tte_mean","10150.171016","448109750","44148","seconds","AVD: published_at-created_at from database; external: source_published-nvd_published; negative external gaps are excluded","5/5/2026 16:32:08"
"3166","2025","AVD","NVD","completeness_score","98.07117","43296.460317","44148","percent","source-specific completeness","5/5/2026 16:32:08"
"3167","2025","AVD","NVD","coverage_vs_nvd","100","44148","44148","percent","NVD baseline coverage","5/5/2026 16:32:08"
"3168","2025","AVD","NVD","accuracy_structural_score","95.633471","72518","75829.1","percent","non-null field accuracy against NVD baseline + source-specific consistency checks","5/5/2026 16:32:08"
"3169","2025","AVD","NVD","prioritisation_avg_delta_vs_nvd","0.813333","21.96","27","score","AU CVEs only: source_score - NVD base_score","5/5/2026 16:32:08"
"3170","2025","JVN","NVD","tte_mean","45.013531","1157748.014074","25720","days","AVD: published_at-created_at from database; external: source_published-nvd_published; negative external gaps are excluded","5/5/2026 16:32:08"
"3171","2025","JVN","NVD","completeness_score","92.218028","23996.053","26021","percent","source-specific completeness","5/5/2026 16:32:08"
